code,manufacturer,title_ru,title_en,description_ru,description_en,symptoms,possible_causes,diagnostic_notes,recommended_checks,severity,source_name,source_url
P0001,,Цепь управления регулятором подачи топлива обрыв,Fuel Volume Regulator Control Circuit/Open,Код связан с цепью управления регулятором подачи топлива.,,Check Engine; нестабильная работа двигателя,Проводка; разъём; регулятор подачи топлива; питание; масса,Нужна проверка цепи и данных топливной системы,Проверить питание; массу; проводку; разъём; давление топлива,medium,Curated DTC pack,
P0010,,Цепь привода изменения фаз газораспределения A банк 1,Camshaft Position Actuator Circuit Bank 1,Код связан с цепью управления фазорегулятором распредвала.,,Check Engine; потеря тяги; нестабильная работа,Клапан VVT; масло; проводка; разъём; загрязнение каналов,Проверять не только клапан, но и качество масла и управляющий сигнал,Проверить уровень и состояние масла; клапан VVT; питание; сигнал управления,medium,Curated DTC pack,
P0011,,Положение распредвала A слишком раннее или производительность системы банк 1,Camshaft Position Timing Over-Advanced Bank 1,ЭБУ фиксирует слишком раннее положение распредвала или проблему производительности системы VVT.,,Потеря тяги; нестабильный холостой ход; Check Engine,Масло; клапан VVT; фазорегулятор; цепь ГРМ; датчик распредвала,Нужен анализ live data фаз и условий появления ошибки,Проверить масло; VVT; метки ГРМ; датчики; управляющий сигнал,medium,Curated DTC pack,
P0030,,Цепь нагревателя кислородного датчика банк 1 датчик 1,HO2S Heater Control Circuit Bank 1 Sensor 1,Код связан с цепью нагревателя кислородного датчика до катализатора.,,Check Engine; возможный рост расхода,Нагреватель O2; предохранитель; проводка; разъём; питание,Не менять датчик без проверки питания и сопротивления нагревателя,Проверить предохранитель; питание; массу; сопротивление нагревателя; проводку,medium,Curated DTC pack,
P0050,,Цепь нагревателя кислородного датчика банк 2 датчик 1,HO2S Heater Control Circuit Bank 2 Sensor 1,Код связан с цепью нагревателя кислородного датчика банка 2.,,Check Engine; возможный рост расхода,Нагреватель O2; проводка; разъём; питание; предохранитель,Важно отличать банк 1 и банк 2 по конкретному двигателю,Проверить цепь нагревателя; питание; массу; сопротивление; разъём,medium,Curated DTC pack,
P0115,,Неисправность цепи датчика температуры охлаждающей жидкости,Engine Coolant Temperature Circuit Malfunction,Код связан с датчиком температуры охлаждающей жидкости или его цепью.,,Плохой запуск; вентилятор работает постоянно; повышенный расход,Датчик ECT; проводка; разъём; уровень ОЖ; питание,Сравнить температуру ECT с реальной температурой двигателя и IAT,Проверить live data ECT; разъём; проводку; уровень охлаждающей жидкости,medium,Curated DTC pack,
P0128,,Температура охлаждающей жидкости ниже температуры регулирования термостата,Coolant Thermostat Below Regulating Temperature,Двигатель слишком долго не выходит на рабочую температуру.,,Повышенный расход; слабый обогрев; долго греется двигатель,Термостат; датчик ECT; низкий уровень ОЖ; условия эксплуатации,Перед заменой термостата проверить фактическую температуру и данные ECT,Проверить прогрев по live data; термостат; уровень ОЖ; работу вентилятора,medium,Curated DTC pack,
P0201,,Неисправность цепи форсунки цилиндра 1,Injector Circuit Cylinder 1,Код связан с электрической цепью форсунки первого цилиндра.,,Троение; пропуски; запах топлива; Check Engine,Форсунка; проводка; разъём; драйвер ЭБУ; питание,Важно отличать электрическую неисправность от механической проблемы форсунки,Проверить сопротивление форсунки; питание; импульс управления; проводку,high,Curated DTC pack,
P0219,,Превышение допустимых оборотов двигателя,Engine Overspeed Condition,ЭБУ зафиксировал превышение допустимых оборотов двигателя.,,Check Engine; возможные ограничения мощности,Ошибочное переключение; механическая перегрузка; датчик оборотов; условия эксплуатации,Нужно учитывать freeze frame и реальные условия появления кода,Проверить freeze frame; историю ошибок; датчик оборотов; работу трансмиссии,medium,Curated DTC pack,
P0335,,Неисправность цепи датчика положения коленчатого вала,Crankshaft Position Sensor A Circuit Malfunction,Код связан с датчиком положения коленвала или его цепью.,,Не запускается двигатель; глохнет; пропуски; Check Engine,Датчик CKP; проводка; разъём; задающий диск; питание; масса,Один из ключевых датчиков для запуска и синхронизации двигателя,Проверить сигнал CKP; проводку; разъём; питание; состояние задающего диска,high,Curated DTC pack,
P0340,,Неисправность цепи датчика положения распредвала,Camshaft Position Sensor Circuit Malfunction,Код связан с датчиком положения распредвала или его цепью.,,Плохой запуск; потеря мощности; Check Engine,Датчик CMP; проводка; разъём; фазы ГРМ; питание,Нужно сопоставлять с CKP и фактическими фазами,Проверить сигнал CMP; питание; массу; проводку; синхронизацию ГРМ,high,Curated DTC pack,
P0401,,Недостаточный поток EGR,Exhaust Gas Recirculation Flow Insufficient Detected,ЭБУ фиксирует недостаточный поток системы рециркуляции отработавших газов.,,Check Engine; детонация; повышенная температура сгорания,Клапан EGR; каналы EGR; вакуум; датчик DPFE; проводка,На многих авто причина в забитых каналах, а не только в клапане,Проверить клапан EGR; каналы; управление; датчики; вакуумные линии,medium,Curated DTC pack,
P0402,,Избыточный поток EGR,Exhaust Gas Recirculation Flow Excessive Detected,ЭБУ фиксирует чрезмерный поток EGR.,,Нестабильный холостой ход; глохнет; дымность; Check Engine,Клапан EGR завис открыт; управление EGR; датчики; загрязнение,Проверить, не открыт ли EGR на режимах, где он должен быть закрыт,Проверить положение EGR; управление; каналы; live data,medium,Curated DTC pack,
P0455,,Крупная утечка в системе EVAP,EVAP System Large Leak Detected,Система EVAP не держит герметичность или обнаружена крупная утечка.,,Check Engine; запах топлива,Крышка бака; шланги EVAP; клапан продувки; адсорбер; утечка,Частая причина — крышка бака, но нужна проверка герметичности,Проверить крышку бака; дым-тест EVAP; клапаны; шланги,low,Curated DTC pack,
P0505,,Неисправность системы управления холостым ходом,Idle Control System Malfunction,Код связан с управлением холостым ходом.,,Плавают обороты; глохнет; высокий холостой ход,Дроссель; IAC; подсос воздуха; загрязнение; адаптации; проводка,На электронном дросселе часто нужны адаптации и проверка live data,Проверить подсос; дроссель; адаптации; IAC; топливные коррекции,medium,Curated DTC pack,
P0606,,Ошибка процессора блока управления PCM/ECM,PCM Processor Fault,Код указывает на внутреннюю ошибку блока управления или проблему питания/массы.,,Check Engine; аварийный режим; проблемы запуска,Питание ЭБУ; масса; прошивка; влага; сам блок управления,Перед заменой блока обязательно проверить питание и массу,Проверить питание; массы; разъёмы; влагу; историю ошибок; напряжение сети,critical,Curated DTC pack,
P0705,,Неисправность цепи датчика диапазона трансмиссии,Transmission Range Sensor Circuit Malfunction,Код связан с датчиком положения селектора АКПП.,,Не заводится; неправильная индикация передач; рывки АКПП,Датчик диапазона; проводка; регулировка селектора; разъём,Нужно проверять соответствие положения селектора live data,Проверить live data селектора; регулировку; проводку; разъём,high,Curated DTC pack,
P0740,,Неисправность цепи муфты блокировки гидротрансформатора,Torque Converter Clutch Circuit Malfunction,Код связан с управлением блокировкой гидротрансформатора АКПП.,,Рывки; перегрев АКПП; рост расхода; Check Engine,Соленоид TCC; проводка; гидроблок; масло АКПП; износ ГТ,Нужна диагностика АКПП, а не только чтение ошибки двигателя,Проверить ошибки TCM; live data TCC; масло АКПП; проводку; соленоиды,high,Curated DTC pack,
P0750,,Неисправность соленоида переключения A,Shift Solenoid A Malfunction,Код связан с соленоидом переключения АКПП.,,Рывки; аварийный режим; неправильные переключения,Соленоид; проводка; гидроблок; масло; TCM,Проверять вместе с давлением, состоянием масла и командами TCM,Считать ошибки TCM; проверить соленоид; проводку; масло; гидроблок,high,Curated DTC pack,
U0073,,Шина управления модулем A отключена,Control Module Communication Bus A Off,Код связан с нарушением связи по CAN-шине.,,Много ошибок связи; не работают системы; невозможность диагностики,Короткое замыкание CAN; обрыв; питание блока; масса; влага; разъёмы,Нужно искать первичную причину сети, а не менять блоки наугад,Проверить топологию сети; сопротивление CAN; питание блоков; массы; разъёмы,critical,Curated DTC pack,
U0140,,Потеря связи с блоком кузовной электроники BCM,Lost Communication With Body Control Module,Код указывает на потерю связи с BCM.,,Не работает часть электрооборудования; ошибки связи; проблемы центрального замка или света,Питание BCM; масса; CAN; разъёмы; влага; сам блок,Проверять сеть и питание до вывода о неисправности блока,Проверить связь с BCM; питание; массы; CAN; разъёмы; влагу,high,Curated DTC pack,
